col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
B,M,1,0,+,83.0576792,40.0660806,169.1081371,3.5985577,T,,A
B,M,0,2,+,306.9317375,40.595425,79.028869,1.2072237,T,S,C
B,M,0,2,+,308.4003333,43.9853917,82.4099652,2.3253887,T,S,
B,M,0,2,+,308.4598583,45.661375,83.7838867,3.2885157,T,S,C
B,M,1,0,+,60.8364,51.3145722,150.6028451,-0.942879,T,N,C
B,M,1,0,+,64.6485,52.8650583,151.2636977,1.7866407,T,W,C
B,M,1,2,+,334.7442875,56.1231861,102.8061864,-0.6722352,T,T,C
B,M,1,2,+,334.7451333,56.1231861,102.8065804,-0.6724942,A,T,C
B,M,1,2,+,334.7494833,56.1219222,102.8079123,-0.6748823,T,T,C
B,M,1,2,+,343.7853833,56.3830222,107.3042676,-2.918742,T,,C
B,M,1,0,+,14.0592333,61.7602528,123.4996713,-1.1062068,T,S,C
B,M,1,2,+,350.1855,61.1945917,112.2274613,0.2220228,T,N,C
B,M,1,0,+,23.1363333,61.1294,127.8748553,-1.3472173,T,,C
B,M,1,2,+,358.2716875,60.9123944,115.897392,-1.159899,T,,C
B,M,1,0,+,37.9878625,61.6122083,134.5815408,1.0350786,T,I,C
B,M,1,0,+,38.0452083,61.5522083,134.6295134,0.9898665,T,I,C
B,M,1,0,+,38.0697958,61.5541889,134.6396028,0.9961379,T,I,C
B,M,1,0,+,38.1511333,61.4737778,134.7060332,0.9364793,T,I,C
B,M,1,0,+,38.5105417,61.3863528,134.8983127,0.921509,T,I,C
B,M,1,0,+,43.5444667,60.6509972,137.4202826,1.2792632,T,I,C
B,M,1,0,+,36.6432458,62.0117556,133.8437329,1.1724266,T,N,C
B,M,1,2,+,336.3899125,63.4173944,107.4455494,5.0205518,T,S,C
B,M,1,0,+,39.0759208,62.9481556,134.5331045,2.4628087,T,,C
B,M,1,2,+,359.3858458,67.5542444,117.8067916,5.2203551,T,S,C
B,M,1,0,+,0.54265,67.429225,118.2174412,5.0095447,T,B,C
B,M,1,0,+,0.5428625,67.40895,118.2136429,4.9896257,T,B,C
B,M,0,1,-,278.8855583,-4.7987194,26.8487908,1.3360609,T,,
B,M,0,1,-,277.3097083,-8.5613639,22.7878234,0.9872758,T,,S
B,M,0,1,-,276.0860458,-10.809525,20.2362465,1.0077994,T,R,
B,M,0,1,-,274.5139333,-11.2941194,19.0826497,2.1417253,T,S,S
B,M,0,1,-,274.5129667,-12.2428556,18.2458393,1.6937999,T,N,S
B,M,0,1,-,274.6363833,-13.7533,16.9718239,0.8730506,T,N,S
B,M,0,1,-,274.6670458,-13.7551583,16.9842807,0.8459331,T,N,S
B,M,0,1,-,275.5929583,-14.6190167,16.6455845,-0.3529578,T,S,S
B,M,0,1,-,276.4120667,-14.7515833,16.8993298,-1.1152025,T,S,S
B,M,2,0,-,113.7435958,-16.2397833,232.3067574,1.9384408,T,,C
B,M,0,1,-,275.2592958,-16.0169278,15.2604793,-0.7262815,T,N,S
B,M,2,0,+,114.2738792,16.9042472,202.5134899,17.5242513,T,,
B,M,0,2,+,313.9635625,43.8735194,84.8123058,-0.8824935,M,N,C
C,M,1,0,+,48.5222208,59.5634722,140.1165184,1.5382037,T,S,C
