main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,sp_type,user_specified_id,object_number_id
DO 18341,298.9264096433,32.09695730152,0.016100000590085983,0.021299999207258224,90,O,2020yCat.1350....0G,M4/5III,GAIA DR3 2034031438383765760,1
IGR J17586-2129,269.64398233591,-21.38931517363,0.2703999876976013,0.19030000269412994,90,O,2020yCat.1350....0G,,GAIA DR3 4070770243676311936,2
,,,,,,,,,GAIA DR3 4146789141900648576,3
X Sct X-1,278.8576017596299,-7.61400454598,2.861799955368042,2.157099962234497,90,O,2020yCat.1350....0G,,GAIA DR3 4156747212545110400,4
2MASS J18461279-0222261,281.55330815623,-2.3739001874,0.09380000084638596,0.09700000286102295,90,O,2020yCat.1350....0G,,GAIA DR3 4259088994635370752,5
SS 433,287.95651987395,4.982729757679999,0.018400000408291817,0.018400000408291817,90,O,2020yCat.1350....0G,A7Ib,GAIA DR3 4293406612283985024,6
,,,,,,,,,GAIA DR3 5980409632300781056,7
2MASS J12340051-6143034,188.50215027951455,-61.71762302806139,0.045899998396635056,0.046300001442432404,90,O,2020yCat.1350....0G,,GAIA DR3 6054778507172454912,8
