source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,ruwe,distance_bj,distance_bj_low,distance_bj_high,Name,Mx,Mx_err,Mo,Mo_err,RV,RV_err,Period,Period_err,Spin_period,Spin_period_err,distance_para,pm_l_poleski,pm_b_poleski,galactic distance,circular velocity,LSR velocity,mu_l_sol,mu_b_sol,RV_r_sol,mu_l_rot,mu_b_rot,RV_rot,Peculiar Velocity,Peculiar Radial Velocity,peculiar_mu_l,peculiar_mu_b,Peculiar Velocity 3D,dist_err,SpType,Mod_SpType,SpColor,pm_l_err,pm_b_err,l_err,b_err,V_pec_tan_err,V_pec_3d_err
168450545792009600,58.84615062234396,0.02955361269414425,31.045836091857545,0.02079164795577526,-1.282117252826291,0.05307381600141525,-1.8690907560201113,0.030308086425065994,1.627402622661778,0.03745640814304352,,,6.261696815490723,163.0813533466715,-17.136203125538678,1.5027114152908325,0.6001466000000001,0.586646,0.6135245,X Per,,,15.5,,1.0,0.9,250.3,0.6,837.6712,0.0003,0.6144760897364175,0.31676489435910954,-2.244322816783791,8.700283372674695,240.10342425051675,-3.082081921386132,5.678754520826265,-1.8927588919495255,8.331080353841104,-1.9216873115359343,-0.33406197379682595,-3.2901823428045422,9.786737037120155,-4.040898011036562,-3.4403023149312215,-0.017501951037439734,10.588157468102683,0.014142822981115537,B0Ve,xkcd:purple,xkcd:green,0.041711259271920674,0.01919914903743054,0.01924529710169995,0.013440536039086987,2.634009855131513,3.828873927543188
184497471323752064,80.64680481184236,0.025397874414920807,37.6759929364201,0.01957647316157818,1.3049449567151956,0.04082612693309784,-3.9994793622028038,0.02804887294769287,0.7213697567669315,0.030094077810645103,,,7.2317328453063965,170.05338802722687,0.7103172589013076,1.0481436252593994,1.3198279,1.2776985,1.3696732,EXO 051910+3737.7,,,17.5,,-20.5,4.4,,,,,1.3862516284046154,4.042487758552149,-1.1649073914687809,9.452638909302912,240.8838107733035,-4.889907119264498,2.439435356227649,-1.2311682821565653,8.193677748526671,-0.9183602620840488,0.009690740155852097,-5.671475619440114,15.777887460507074,-23.02220212908656,2.5214126644085484,0.0565701505319323,27.90991801472989,0.05783159604211228,B0 IVpe,xkcd:purple,xkcd:green,0.03490076568936409,0.0174409206150625,0.01895825062018289,0.009913320421061531,7.643370560848931,14.568491902290791
252878401557369088,70.24720739300419,0.011905986815690994,44.53034418647852,0.008385959081351757,0.10064623612212906,0.016362275928258896,-1.186127754569379,0.013658520765602589,0.378823380551682,0.015042701736092567,,,10.40385627746582,159.8470955000755,-1.2700235829277626,0.8796510100364685,2.4436519,2.3526979999999997,2.519473,RX J0440.9+4431,,,17.5,,,,150.0,,202.5,0.5,2.639752590095405,0.9613298907381022,-0.7020495396899115,10.477343032770246,241.85577277691382,-16.487716722919366,1.4234979660475775,-0.64554297906578,5.620332737130843,-0.9894066320591308,-0.03155753876451066,-21.19600784456058,6.113790277467948,,0.5272385567496555,-0.02494902185962085,,0.10482196429390027,B0e,xkcd:green,xkcd:green,0.012358758869474226,0.006462285084643949,0.008481063445007495,0.0039496270449074005,11.506676162796824,
276644757710014976,64.92556123476727,0.012604312971234322,55.999360679043434,0.008108320645987988,-0.4735607216045463,0.01827656850218773,-0.5096656032780096,0.013492867350578308,0.2100882458297216,0.014864281751215458,,,10.766115188598633,149.17651611413766,4.133059262254314,1.1442627906799316,4.128381999999999,3.857449,4.402587400000001,XTE J0421+560,,,,,-51.0,2.0,19.41,0.02,,,4.759904563202022,0.028172527938556093,-0.6951439368079875,11.874963606736411,243.04361964900133,-35.3628635526062,0.8796196505446521,-0.3958616206504662,1.7521777685708044,-1.2734311474845192,0.13058473493752779,-51.52548683646432,11.787602735827345,-1.2266909321064872,0.42198402487842324,-0.4298670510950491,11.851259380361086,0.3367754452749184,B1/2I[e],xkcd:green,xkcd:green,0.016413155514623672,0.007103006869417609,0.011211768609447082,0.004575727049175133,21.6928625834948,34.16298818086402
414196617287885312,18.996040698840275,0.010982572101056576,59.15394486765568,0.012779636308550835,-2.4625832668630094,0.014893881045281887,-0.546486466252775,0.01677328534424305,0.3391933399322079,0.018039019778370857,,,11.412055969238281,126.08000772759438,-3.5676859152271287,1.0861941576004028,2.607235,2.499728,2.700093,EM* AS   14,,,,,,,,,,,2.9481710938070385,-2.3917964140508814,-0.8014198136834897,9.908228429852588,241.32785437376185,-30.245444147438302,1.3543735403539963,-0.6370991545909823,-4.149277022000289,-3.3481763025872397,-0.15259040713087868,-36.770401174867104,4.920658379457423,,-0.3979936518176381,-0.01173025196162869,,0.15678997907752415,B1-2 III/Ve,xkcd:green,xkcd:green,0.014805613735512323,0.010144365974226128,0.010861635719069056,0.007492080916920915,8.596009957684776,
426558460884582016,14.177450998208093,1.8335996866226196,60.71672280471204,2.3911945819854736,,,,,,,,,2.0645833015441895,123.57698659515256,-2.1484240190698634,,,,,gam Cas,,,13.0,0.0,-0.018,0.075,203.371,0.089,,,1.0,,,0.0,1.6803199999999998,inf,,,-5.069058694788397,,,nan,,nan,,,,,B0.5IVpe,xkcd:purple,xkcd:green,nan,nan,nan,nan,,
427234969757165952,9.290132580203235,0.008413794450461864,61.36013319063004,0.009818237274885178,-1.7956235405295953,0.010947090573608875,-0.5251300483100196,0.013608978129923344,0.27189066538368456,0.012059882283210754,,,9.454655647277832,121.22141620023214,-1.4641898756122689,0.9751836657524109,3.40784,3.2624436,3.5502334,IGR J00370+6122,,,22.0,,-80.0,3.0,15.6649,0.0014,674.0,,3.677948996847052,-1.8178656462591023,-0.44202936451450847,10.33498447483242,241.7263509582219,-38.79372702481899,1.0081838839954012,-0.47988460641303254,-5.836009540939745,-3.477766780741962,-0.06138655881106592,-49.1941799413977,10.648650151212198,-24.969810517662555,0.6517172504874584,0.09924180070958999,27.145629249123758,0.16313775201894146,BN0.5II-III / BN0.7Ib,xkcd:red,xkcd:red,0.01054072897827693,0.007733189274152572,0.008142935743436382,0.005466216636097805,11.10299041400862,28.523337773141805
444752973131169664,53.749629724978455,0.013929484412074089,53.17313997828423,0.012730369344353676,-0.26805266659388,0.019742585718631744,0.4401283844933388,0.01982794515788555,0.13434727271763658,0.020151322707533836,,,14.200214385986328,146.05208942276994,-2.1940257086354467,1.0700557231903076,5.883423,5.4845513,6.3010405,V 0332+53,,,18.8,,,,36.5,0.29,4.4,,7.4433963546230135,-0.47611749428266703,0.19717342250618006,13.4343354203113,244.21979884912392,-49.018970826039684,0.6208160537405135,-0.27045155073291544,1.65427792924791,-1.2202717934721974,-0.06734218472799054,-80.80212221294124,15.310226379541414,,0.12333824544901684,0.534967157967086,,1.11646689171978,O8-9Ve,xkcd:dark blue,xkcd:blue,0.01664041909593133,0.009439213634819069,0.011830081989862271,0.0061798544939952425,10.340270950778844,
465628193526364416,40.91843191991435,0.006756731308996677,61.434377668355616,0.008564884774386883,-0.7289798897496916,0.010312550701200962,0.13432816094165279,0.011728739365935326,0.18150880543038156,0.011328215710818768,,,12.386541366577148,135.93415668064728,1.4287879422071408,1.0006848573684692,5.1687217,4.8863296,5.4875684,Swift J0243.6+6124,,,,,,,28.3,0.2,9.8661,0.0003,5.509374587248629,-0.7165155704504065,-0.18989779299288234,12.39515842179176,243.45168046193712,-52.789582288921544,0.7054520081533407,-0.30838243279444794,-1.8873208171996785,-1.916126800389973,0.05374300115267785,-80.28653196213433,12.210234723033187,,0.49415922178622584,0.06474163864888774,,0.3438476916206344,O9.5Ve,xkcd:dark blue,xkcd:blue,0.009873934224921678,0.005542897508987156,0.00629270287142766,0.0038110059252098078,27.98723543711981,
465645515129855872,40.131931264833995,0.007332205772399902,61.22933050838676,0.00920911505818367,-0.42343174759612834,0.01132231391966343,-0.2555250178055092,0.011918910779058933,0.37764990611808313,0.012974979355931282,,,10.40222454071045,135.6752737697255,1.0861251738760371,0.9269739985466003,2.4739568,2.4065700000000003,2.5448572,LS I+61 303,,,12.5,,-41.41,0.6,26.496,0.0028,,,2.647955113451878,-0.2786251335336253,-0.4086019022963385,10.06896654973379,241.47984983478042,-28.322532669594786,1.473198301271711,-0.6451137369363004,-1.9201631580140313,-2.5858681983951044,0.0457900276284113,-34.99124344219539,10.032926212006025,-4.498593399790575,0.8340447635897683,0.19072180701155053,10.99531495466123,0.09097622527073537,B0Ve,xkcd:purple,xkcd:green,0.010907267069193831,0.005850582937265816,0.006920802665470591,0.004215247370009197,6.852860391726651,7.830751483982036
