Name,RA_ICRS,DE_ICRS,IDFlag,XrayType,Porb,Ppulse,CRSF,SpType,GaiaDR3,FXMMmin,FXMMmax,FChandmin,FChandmax,ChandInst,FXRTmin,FXRTmax,FBATmin,FBATmax,FINTmin,FINTmax,Mass,Dist,Teff,Lopt,Img
Ginga 1843+009,281.4034733687,0.86315946802,0,"             BE,XP,XT",,29.48, ,B0-2IV-Ve,4278536022438800640,,,0.032081,0.032081,ACIS,1911.000025,1911.000025,,,,,,3460,3682.6,,Ginga_1843+009.pdf
IGR J18462-0223,281.55330103238,-2.37390974488,0,"                SG,XT",,997, , ,4259088994635370752,0.217787,12.2824,,,    ,12.52,12.52,,,,,,1256,5572.8,1.588,IGR_J18462-0223.pdf
IGR J18482+0049,282.064171,0.792571,1,                     ,,, , ,,1.37072,1.37072,,,    ,0.6361,0.6361,,,,,,,,,IGR_J18482+0049.pdf
2S 1845-024,282.07,-2.42363888889,1,"                XP,XT",241,94.72, ,OB,,1.22392,1.57342,0.315907,0.315907,ACIS,119.400004,119.400004,,,,,,,,,2S_1845-024.pdf
IGR J18483-0311,282.07168612166,-3.17136768374,0,"                SG,XT",18.55,21.05, ,B0.5-1Iab,4258428501693172736,1.14608,51.1744,6.061817,6.061817, HRC,3.94,73.169998,79.14,79.14,55.484002,55.484002,,3779,3874.7,334.5,IGR_J18483-0311.pdf
XTE J1855-026,283.87668002005,-2.6046794194,0,"             EB,XP,XT",6.07,361, ,B0Iaep,4255891924062617088,0.990934,0.990934,,,    ,218.700003,218.700003,210.97,210.97,123.694995,123.694995,1.41,6813,6207.5,,XTE_J1855-026.pdf
Ginga 1855-02,284.5,-2.73333333333,2,                   XT,,, , ,,,,,,    ,,,,,,,,,,,Ginga_1855-02.pdf
XTE J1858+034,284.64841666667,3.43625,1,"             CL,XP,XT",,221,48,K-M,,0.452334,0.452334,0.02111,0.02111,ACIS,,,,,67.209997,67.209997,,,,,XTE_J1858+034.pdf
XTE J1859+083,284.75680882609,8.24545725431,1,"                XP,XT",37.97,9.79, ,B0-2Ve,4310118570535453696,,,,,    ,12.59,12.59,,,,,,6737,,,XTE_J1859+083.pdf
4U 1901+03,285.91412803533,3.20435796814,0,"             CL,XP,XT",22.58,2.76,30,B8-9 IVe,4268774695647764352,,,,,    ,,,,,168.740003,168.740003,,3661,4971,,4U_1901+03.pdf
XTE J1906+090,286.19776875399,9.0449110404,0,"                XP,XT",,89.17, ,Be?,4310649153642824320,,,1.626861,1.626861,ACIS,2.409,2.409,,,,,,7878,,,XTE_J1906+090.pdf
4U 1907+09,287.40473038615,9.83201118533,0,"       CL,HT,SG,XP,XT",8.37,438,"18,36",O8-9 Ia,4309225217336733824,,,,,    ,,,166.19,166.19,,,,2896,4705.6,213.3,4U_1907+09.pdf
AX J1910.7+0917,287.6819513,9.2748314,2,                   SG,,36200, ,early BI,,0.503847,33.9411,0.295602,0.295602,ACIS,,,,,,,,,,,AX_J1910.7+0917.pdf
4U 1909+07,287.70087185633,7.59765630241,0,"                CL,XP",4.4,603.6,44?,O7.5-9.5If,4306419980916246656,,,,,    ,249.600007,249.600007,260.95,260.95,,,,6506,,,4U_1909+07.pdf
UCAC4 528-094936,287.82843213014,15.54241523241,0,                     ,,, ,Be,4512787627579740032,,,,,    ,,,,,,,,12135,,,UCAC4_528-094936.pdf
SS 433,287.95650636991,4.98270852726,0,"       BE,BH,EB,MQ,RS",13.1,, ,A3-7 I,4293406612283985024,124.008,244.751,4.858388,4.858388,ACIS,152.700005,152.700005,141.89,141.89,,,4.2,6806,,,SS_433.pdf
IGR J19140+0951,288.51760590601,9.88286437365,0,                   SG,13.56,5937, ,B0.5Ia,4309253392325650176,3.12022,3.12022,0,0, HRC,0,29.76,54.24,54.24,111.540003,111.540003,,5196,3190.9,,IGR_J19140+0951.pdf
IGR J19149+1036,288.736696,10.610755,1,                     ,22.25,,31, ,,,,,,    ,17.33,17.33,,,,,,,,,IGR_J19149+1036.pdf
IGR J19294+1816,292.48292610722,18.31060597633,0,"          BE,CL,XP,XT",116.2,12.44,(36)43,B1Ve,4323316622779495680,308.931,308.931,,,    ,44.31,44.31,,,,,,4002,,,IGR_J19294+1816.pdf
1H 1936+541,293.21791666667,53.87916666667,2,                   BE,,, ,Be,,,,,,    ,,,,,,,,,,,1H_1936+541.pdf
1RXS J194211.9+255552,295.54652236458,25.93489035046,0,                     ,166.5,, , ,2021785421455305344,,,,,    ,96.739998,96.739998,,,,,,6361,7496.7,35.19,1RXS_J194211.9+255552.pdf
XTE J1946+274,296.41397487956,27.36539915248,0,"          BE,CL,XP,XT",169.2,15.8,36,B01-IVVe,2028089540103670144,,,0.591439,0.591439,ACIS,1303.000041,1303.000041,53.84,53.84,53.768,53.768,,11604,5280.8,,XTE_J1946+274.pdf
KS 1947+300,297.39783883472,30.2088084874,0,"       BE,CL,HT,XP,XT",40.4,18.7,12,B0Ve,2031939548802102656,0.073846,1260.74,1.91262,1.91262,ACIS,66.410002,66.410002,,,48.763001,48.763001,,12164,33413.8,,KS_1947+300.pdf
AX J1949.8+2534,297.48094936995,25.56659484642,0,"                SG,XT",,, ,early BIa,2026914849346539008,0.932218,0.932218,,,    ,0.8278,0.8278,,,,,,5801,,,AX_J1949.8+2534.pdf
4U 1954+31,298.92639832143,32.09693031874,0,                   SG,1296.6375,19400, ,M4 I,2034031438383765760,,,0.183423,0.183423, HRC,158.100005,158.100005,271.2,271.2,,,,3256,3558,,4U_1954+31.pdf
Cyg X-1,299.59029482904,35.20157876511,0,"       BH,MQ,RS,SG,US",5,, ,O9.7Iabpvar,2059383668236814720,,,,,    ,99360.001116,99360.001116,17234.2,17234.2,,,21.2,2103,20879.5,,Cyg_X-1.pdf
2MASS J20002185+3211232,300.09104899634,32.18973933161,0,                   BE,,890, ,early BV or mid BIII,2033989790047905024,,,,,    ,41.97,41.97,44.75,44.75,,,,8412,,,2MASS_J20002185+3211232.pdf
W63 X-1,304.75,45.7,2,                   XP,,36, ,Be?,,,,,,    ,,,,,,,,,,,W63_X-1.pdf
SAO 49725,307.62850374937,47.86406792934,0,"              BE,Gcas",,, ,B0.5III-Ve,2083644392294059520,1.09898,1.09898,,,    ,,,,,,,,2180,34910.4,,SAO_49725.pdf
PSR J2032+4127,308.05466935591,41.45675875004,0,                   GP,,, ,B0:e/B0:Vn,2067835682818358400,0.130469,4.34582,0.06448,0.06448,ACIS,2.101,2.101,,,,,,1679,21445.04,,PSR_J2032+4127.pdf
EXO 2030+375,308.06362685512,37.63743239547,0,"          BE,CL,XP,XT",46.02,41.31,11,B0Ve,2063791369815322752,260.068,260.068,,,    ,186.899995,186.899995,784.45,784.45,711.138993,711.138993,,2077,5190.3,410.6,EXO_2030+375.pdf
Cyg X-3,308.107422,40.957756,0,"             BH,MQ,RS",0.2,, ,WN 4-6,,1098.57,1294.73,0,0, HRC,10069.999945,10069.999945,2467.88,2467.88,,,7.2,,,,Cyg_X-3.pdf
SRGE J204319.0+443820,310.82775703774,44.6388912772,0,                     ,,741.8, ,B0-2e,2070085317968809216,22.0968,22.0968,,,    ,,,,,,,,5871,7543.1,,SRGE_J204319.0+443820.pdf
GRO J2058+42,314.69805829882,41.77697968527,0,"          BE,CL,XP,XT",55.03,195.25,10(3),O9.5-B0IV-Ve,2065653598916388352,,,,,    ,167.899999,167.899999,,,,,,7458,31462.3,,GRO_J2058+42.pdf
SAX J2103.5+4545,315.89876969225,45.75153283211,0,"             BE,XP,XT",12.68,358.61, ,B0Ve,2162805896614571904,,,0.222616,0.222616,ACIS,111.6,111.6,68.15,68.15,97.954999,97.954999,,5370,29372.9,,SAX_J2103.5+4545.pdf
IGR J21343+4738,323.58486828065,47.63337917571,0,                   BE,,322.7, ,B1--1.5III--V,1978365123143522176,4.68047,4.68047,,,    ,,,,,,,,7078,15074.9,,IGR_J21343+4738.pdf
Cep X-4,324.87785209105,56.98621852916,0,"       BE,CL,HT,XP,XT",20.85,65.35,"30,28,45,30,55",B1-B2Ve,2178178409188167296,,,0.659486,0.659486,ACIS,470.100014,470.100014,,,,,,7348,,,Cep_X-4.pdf
1H 2202+501,330.40919197022,50.16795238314,0,                   BE,,, ,B3e,1979911002134040960,,,,,    ,,,,,,,,1117,,,1H_2202+501.pdf
4U 2206+54,331.98428755193,54.5184321708,0,"      BE,CL,QPO,SG,XP",9.57,5555,29-35,O9.5IIIe,2005653524280214400,266.929,266.929,,,    ,662.400024,662.400024,173.13,173.13,108.107999,108.107999,,3097,20008.4,,4U_2206+54.pdf
SAX J2239.3+6116,339.83682979593,61.27405311885,0,"             BE,XP,XT",262,1247, ,B0Ve,2201091578667140352,,,0.378806,0.378806,ACIS,,,,,,,,6289,16439.9,,SAX_J2239.3+6116.pdf
HD 215227,340.73874140526,44.72172459979,0,"                BE,BH",60.37,, ,B1.5-B2III,1982359580155628160,0.007955,0.007955,,,    ,,,,,,,,1972,,,HD_215227.pdf
IGR J22534+6243,343.47967087768,62.72688234992,0,                   BE,100,46.75, ,B0-1III-Ve,2207277877757956352,3.91403,3.91403,1.619152,1.619152,ACIS,4.175,4.175,,,,,,9328,,,IGR_J22534+6243.pdf
