source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,distance,galactic distance,circular velocity,GR velocity,pm_l,pm_b,pm_l_rot,pm_b_rot
4309225217336733824,287.4047303861521,0.05965148285031319,9.832011185333132,0.06551249325275421,-2.7485657819302163,0.07393015176057816,-2.455443176178704,0.0764160305261612,0.2326282846644742,0.07313711941242218,,,16.79393768310547,43.743818692468906,0.47964676300186876,19.09914207458496,15.419151306152344,3.679990768432617,4.298703407637321,6.159145325997152,220.45795678488147,208.8744058570309,-3.446559185374565,1.305773652188779,-4.571030633728803,-0.02375232386534083
4309253392325650176,288.5176059060096,0.3038829267024994,9.882864373650197,0.3366641402244568,-1.5972729990761414,0.3822231590747833,-5.515624391179957,0.43199238181114197,-0.024111477116206592,0.3850174844264984,,,18.248119354248047,44.29634703521837,-0.4687718341225378,21.49799919128418,16.360944747924805,5.137054443359375,-41.47402480488628,47.92545553843593,238.88742448999852,28.08890193630865,-5.6266898778087295,1.1461912916794448,-0.3095105838427327,0.005260148661856849
4310118570535453696,284.75680882608543,0.2963730990886688,8.245457254312521,0.33733880519866943,-1.990330774755356,0.36828628182411194,-3.255504337241219,0.36267372965812683,-0.46894960662420804,0.3779982924461365,,,19.470138549804688,41.134383384326995,2.0764458051903394,20.9979305267334,18.006860733032227,2.991069793701172,-2.132425288078658,10.20179561797537,224.85356672469476,121.74846835314484,-3.8048578005888585,-0.2877189601551419,-1.8131469830015683,-0.08653984560120202
4310649153642824320,286.1977687539877,0.5593506097793579,9.044911040402665,0.6179036498069763,-0.8740526031784608,0.7261876463890076,-4.776992721613207,0.8123673796653748,-0.28522739223478544,0.6127469539642334,,,19.756729125976562,42.49718850001616,1.1748721935698823,21.705068588256836,18.256303787231445,3.4487648010253906,-3.5059746266475282,11.334562788557271,225.78180719419635,112.90945790730038,-4.6459482174011875,1.4137866093209868,-1.653354267416405,-0.04585793825792967
4323316622779495680,292.48292610722393,0.648832380771637,18.310605976333413,0.7901376485824585,-3.0917860808492414,0.8221308588981628,-4.182762112022142,1.041157841682434,0.24756403594072215,0.8005983233451843,,,20.31412696838379,53.54007422452243,0.11502218303520666,21.717018127441406,18.780445098876953,2.936573028564453,4.039358932730619,6.910796552260666,221.45327727832878,217.33963033670082,-5.153172734080578,0.706718351416985,-5.145864114693676,-0.004266240092972812
4512787627579740032,287.8284321301368,0.036209411919116974,15.5424152324057,0.03783654049038887,-2.3316551907380143,0.049541350454092026,-5.026141821941105,0.04540832340717316,-0.16699852326467718,0.04806249961256981,,,13.4966402053833,49.00379131724761,2.746286085927929,14.90600872039795,12.305709838867188,2.6002988815307617,-5.988076903022026,13.218472293463714,227.14424638314063,108.49625754024309,-5.535232412090894,0.24478498095154985,-1.6941304877634933,-0.1000549992391724
5255509901121774976,154.7315592681715,0.00934557057917118,-58.94609420856299,0.009438585489988327,-6.454306520313594,0.013439311645925045,2.256007949459996,0.01335159968584776,0.2273178405234294,0.010232986882328987,,,12.269230842590332,284.351776705235,-1.6900802660463154,12.882477760314941,11.495985984802246,1.3864917755126953,4.3991267807989365,8.547292409868648,223.3022676369862,-212.96405708690497,-6.631741370005862,-1.6636258376035191,-5.444675837248132,0.0016679885391937266
5258414192353423360,152.4456445370427,0.011654465459287167,-58.2932074753388,0.0111605329439044,-4.701857427618813,0.016455015167593956,3.558790662627249,0.014097332023084164,0.24250163068236905,0.013183098286390305,,,13.877196311950684,283.0000248080038,-1.8216728103108153,15.243159294128418,12.732806205749512,2.5103530883789062,4.123683610646765,8.571806368191874,223.32728949252302,-213.58080095197607,-5.893701464880823,0.19166974961827243,-5.435890537773893,0.0029204385571921163
5259009543533179648,152.54941599149674,0.06864461302757263,-56.925542470323926,0.06404059380292892,-5.503265271921807,0.09442966431379318,3.098041592670957,0.08127795159816742,0.13270256636563818,0.07499072700738907,,,17.193578720092773,282.2567770691186,-0.6721253252335401,19.811674118041992,15.739237785339355,4.072436332702637,7.535649289891492,10.09128430919825,224.75776797323854,-182.89027162939604,-6.28327487590539,-0.6358043699723115,-4.8055663754328615,0.011133425107246816
5311384333263075840,136.27840443491405,0.009726453572511673,-53.505413083748714,0.010898681357502937,-1.995531794135815,0.012393113225698471,2.273291749425569,0.013684997335076332,0.053045683314559514,0.011596191674470901,,,13.145345687866211,273.07612343985846,-4.303878231912306,13.324260711669922,12.798443794250488,0.5258169174194336,18.851675339349033,20.211009674115896,230.94984548521438,-94.57785577043374,-3.024748168030942,0.03001731844660182,-2.3732179090952017,0.10690631132744781
5333660129603575808,172.77874085540492,0.03600706532597542,-62.946919022640415,0.038947585970163345,-6.09783274255389,0.04833797365427017,1.3726591176073617,0.048345595598220825,0.5732246078053379,0.046700723469257355,-17.942934036254883,4.483153343200684,8.126811027526855,293.9448982981836,-1.4851967908555856,8.11396312713623,8.075031280517578,0.038931846618652344,1.744516872415204,7.953546205527532,222.6741677596048,-215.45786998236076,-6.225553283934512,-0.5569950791569941,-5.093440365256297,-0.04330025093736158
5334823859608495104,177.0000300154924,0.014049242250621319,-62.20691022592309,0.014256695285439491,-6.226013692435175,0.017029767856001854,1.598218529604734,0.017916958779096603,0.47542377023483023,0.017436819151043892,,,8.652682304382324,295.61107854733706,-0.2402410763337492,8.823287963867188,8.294997215270996,0.5282907485961914,2.1033866260116976,7.824175411697251,222.53134691257083,-216.06261880551514,-6.427772249162464,0.035956635814375894,-5.108172336273522,-0.00720658730637682
5334851450481641088,176.86894042633617,0.007541968487203121,-61.953719225831875,0.008998828940093517,-6.225580251990721,0.01041429303586483,2.361537685037365,0.011920752003788948,0.12669559944899778,0.010234012268483639,,,12.255293846130371,295.48972809721556,-0.00970401441105653,13.309616088867188,11.227763175964355,2.081852912902832,7.892933964155221,8.763800120419218,223.52091675977692,-193.7528220168817,-6.61455648171355,0.7631200836367156,-5.372222021128227,2.7060920841833756e-05
