source_id,mass_flame,mass_flame_lower,mass_flame_upper
168450545792009600,,,
184497471323752064,,,
252878401557369088,,,
276644757710014976,,,
414196617287885312,,,
426558460884582016,,,
427234969757165952,,,
444752973131169664,,,
465628193526364416,,,
465645515129855872,,,
511220031584305536,,,
518990967445248256,,,
519352324516039680,,,
524677469790488960,,,
524924310153249920,,,
1978365123143522176,,,
1979911002134040960,,,
1982359580155628160,,,
2005653524280214400,,,
2021785421455305344,2.1703477,2.0016077,2.3035681
2026914849346539008,,,
2028089540103670144,,,
2031939548802102656,,,
2033989790047905024,,,
2034031438383765760,,,
2059383668236814720,,,
2063791369815322752,3.6293702,3.3213413,3.938634
2065653598916388352,,,
2067835682818358400,,,
2070085317968809216,,,
2083644392294059520,,,
2162805896614571904,,,
2178178409188167296,,,
2201091578667140352,,,
2207277877757956352,,,
2935943990338336000,,,
3052677318793446016,,,
3131755947406031104,,,
3131822364779745536,,,
3423526544838563328,,,
3431561565357225088,6.271726,6.1492877,6.4056687
3441207615229815040,,,
4040960662373474176,,,
4054559284753424000,,,
4056922105185686784,,,
4060784345959549184,,,
4063908810076415872,,,
4070770243676311936,,,
4070968778561141760,,,
4097365235226829312,1.8718317,1.8317828,1.9118897
4104196427943626624,,,
4146789141900648576,,,
4152643113595580416,,,
4155000844481174656,,,
4155023796790984064,,,
4156747212545110400,,,
4253473896214500096,,,
4255891924062617088,,,
4256500538116700160,,,
4258160560148155648,,,
4258428501693172736,3.4132354,3.3021882,3.689229
4259088994635370752,0.94908106,0.90901417,0.9890868
4268774695647764352,,,
4278536022438800640,,,
4293406612283985024,,,
4306419980916246656,,,
4309225217336733824,3.1589592,2.932491,3.2609866
4309253392325650176,,,
4310118570535453696,,,
4310649153642824320,,,
4323316622779495680,,,
4512787627579740032,,,
5255509901121774976,,,
5258414192353423360,,,
5259009543533179648,2.3804326,2.3404226,2.4204452
5311384333263075840,,,
5333660129603575808,,,
5334823859608495104,,,
5334851450481641088,,,
5335021664274920576,4.5829844,4.508091,4.6574917
5336957010898124160,,,
5337498593446516480,,,
5337747731560719616,,,
5339047221168787712,,,
5352018121173519488,,,
5489434710755238400,,,
5522306019626566528,,,
5523448274762133632,,,
5541793213959987968,,,
5548261400354128768,,,
5597252305589385984,,,
5613494119551805184,,,
5620657678322625920,,,
5837600152935767680,,,
5862285700835092352,3.6603947,3.2546206,3.867464
5862299960127967488,,,
5862928537183584768,,,
5863533199843070208,,,
5864664975280537728,,,
5878377736381364608,,,
5883218164517055488,,,
5884544931471259136,,,
5886085557746480000,5.7354794,5.529131,5.946474
5933976985766949376,,,
5934776158877214848,,,
5935509395659726592,1.7380337,1.6959721,1.7804166
5940285090075838848,,,
5940576971716473344,,,
5940777877435137024,,,
5943166184173519744,,,
5943246345430928512,4.4717636,4.4316335,4.512144
5966213219190201856,,,
5976382915813535232,,,
5980409632300781056,,,
6053076566300433920,2.8699784,2.779767,2.9214053
6054569565614460800,,,
6054778507172454912,,,
6055103928246312960,,,
6060547335455660032,4.2806926,4.2372417,4.324014
